Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
Warren Civic Music Series 2024-2025,10/9/2024,2024-06-28T14:00:00Z,USD,145,145,,https://mapsapi.tmol.io/maps/geometry/3/event/050060CE9CB057D3/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Packard Music Hall,https://www.ticketmaster.com/packard-music-hall-tickets-warren/venue/41338,
Hunny,11/19/2024,2023-09-29T18:00:00Z,USD,22,22,,https://mapsapi.tmol.io/maps/geometry/3/event/19005F3CC6982488/staticImage?type=png&systemId=HOST,PHENOMENON CONCERTS,Nile Theater,https://www.ticketmaster.com/nile-theater-tickets-mesa/venue/204958,"Unfortunately, the Event Organizer has had to cancel your event. You don't need to do a thing. We'll issue a refund to the original method of payment used at time of purchase, as soon as funds are received from the Event Organizer. It should appear on your account within 14-21 days. Please Note: If the tickets were transferred to you, the refund will go to the fan who originally purchased the tickets from Ticketmaster. Please see our Purchase Policy for more information."
Ticket for you  + 1 for ALL 2025 shows!,1/9/2025,2025-01-09T13:35:00Z,USD,199,199,,,,Blue Moon Saloon,https://www.ticketweb.com/venue/blue-moon-saloon-lafayette-la/431575,
3rd Thursday Tribute Series Ticket Pass,1/16/2025,2024-11-29T18:00:00Z,USD,240,240,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1C006176EE736DC2/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Venue at Thunder Valley Casino Resort,https://www.ticketmaster.com/the-venue-at-thunder-valley-casino-tickets-lincoln/venue/230121,"THIRD THURSDAY TRIBUTE SERIES TICKET PASS. ALL GA/OPEN SEATING. MUST BE 21+ TO ATTEND. HOWEVER, GUESTS BETWEEN THE AGES OF 13-20 MAY ATTEND IF ACCOMPANIED AT ALL TIMES BY AN ADULT 21 YEARS OR OLDER. NO REFUNDS OR EXCHANGES. IN AN EFFORT TO ENHANCE PUBLIC SAFETY, THUNDER VALLEY CASINO RESORT LIMITS THE SIZE AND STYLE OF BAGS ALLOWED IN THE VENUE. ALL BAGS ARE SUBJECT TO SEARCH. SECURITY MANAGEMENT RESERVES ALL RIGHTS."
Joanna Connor Band/Nicholas Alexander Blues Band,2/8/2025,2024-01-06T00:15:00Z,USD,20,20,,,,Kingston Mines - Chicago Blues Center,https://www.ticketweb.com/venue/kingston-mines--chicago-blues-center-chicago-il/18842,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. 21 years and over"
Saddle Up Country Dance Party!,2/8/2025,2025-01-07T15:25:00Z,USD,0,15,,,,Diamondback Music Hall,https://www.ticketweb.com/venue/diamondback-music-hall-belleville-mi/649583,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Sábados de Orquesta En Vivo en La Rumba!,2/8/2025,2025-02-04T17:45:00Z,USD,25.18,25.18,,,,La Rumba,https://www.ticketweb.com/venue/la-rumba-denver-co/496325,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Lupe Fiasco, Twista, & King Louie",2/8/2025,2024-12-13T19:20:00Z,USD,40,130,,,,The Forge,https://www.ticketweb.com/venue/the-forge-joliet-il/436055,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
"Silk the Shocker, Mac Phipps & Friends",2/8/2025,2025-01-19T00:55:00Z,USD,40,1500,,,,Dew Drop Inn Hotel & Lounge,https://www.ticketweb.com/venue/dew-drop-inn-hotel--lounge-new-orleans-la/653683,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
CONTRA GOLPE - LOS DE CHIHUAHUA - SINCERIDAD NORTENA,2/8/2025,2025-02-01T19:10:00Z,USD,16.51,49.78,,,,Stampede,https://www.ticketweb.com/venue/stampede-aurora-co/496285,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
